Date,Time,Open,High,Low,Close,Volume
2023/8/28,12:18:00,551,551,550,551,10
2023/8/28,12:19:00,551,551,550,551,18
2023/8/28,12:20:00,551,551,551,551,17
2023/8/28,12:21:00,551,551,550,550,7
2023/8/28,12:22:00,551,551,551,551,2
2023/8/28,12:23:00,551,551,551,551,23
2023/8/28,12:24:00,551,551,551,551,16
2023/8/28,12:25:00,551,551,551,551,14
2023/8/28,12:26:00,551,551,551,551,8
2023/8/28,12:27:00,551,551,551,551,18
2023/8/28,12:28:00,551,551,551,551,2
2023/8/28,12:29:00,551,551,551,551,16
2023/8/28,12:30:00,551,551,550,551,12
2023/8/28,12:31:00,551,551,550,550,23
2023/8/28,12:32:00,551,551,551,551,8
2023/8/28,12:33:00,551,551,551,551,30
2023/8/28,12:34:00,551,551,551,551,4
2023/8/28,12:35:00,550,551,550,551,19
2023/8/28,12:36:00,551,551,550,551,8
2023/8/28,12:37:00,551,551,551,551,26
2023/8/28,12:38:00,551,551,551,551,46
2023/8/28,12:39:00,551,551,551,551,21
2023/8/28,12:40:00,551,551,551,551,23
2023/8/28,12:41:00,551,551,551,551,2
2023/8/28,12:42:00,551,551,551,551,24
2023/8/28,12:43:00,550,551,550,551,4
2023/8/28,12:44:00,551,551,551,551,15
2023/8/28,12:45:00,551,551,551,551,8
2023/8/28,12:46:00,551,551,551,551,13
2023/8/28,12:47:00,551,551,551,551,6
2023/8/28,12:48:00,551,551,551,551,20
2023/8/28,12:49:00,551,551,551,551,12
2023/8/28,12:50:00,551,551,551,551,21
2023/8/28,12:51:00,551,551,551,551,8
2023/8/28,12:52:00,551,551,551,551,3
2023/8/28,12:53:00,551,551,551,551,20
2023/8/28,12:54:00,551,551,550,550,11
2023/8/28,12:55:00,551,551,551,551,14
2023/8/28,12:56:00,551,551,551,551,4
2023/8/28,12:57:00,550,551,550,551,20
2023/8/28,12:58:00,551,551,551,551,6
2023/8/28,12:59:00,551,551,551,551,7
2023/8/28,13:00:00,551,551,551,551,58
2023/8/28,13:01:00,551,551,550,551,22
2023/8/28,13:02:00,550,551,550,551,6
2023/8/28,13:03:00,551,551,551,551,44
2023/8/28,13:04:00,551,551,551,551,4
2023/8/28,13:05:00,551,551,550,551,46
2023/8/28,13:06:00,551,551,550,551,8
2023/8/28,13:07:00,551,551,551,551,26
2023/8/28,13:08:00,551,551,551,551,6
2023/8/28,13:09:00,551,551,551,551,3
2023/8/28,13:10:00,551,551,550,550,29
2023/8/28,13:11:00,550,551,550,551,27
2023/8/28,13:12:00,551,551,550,551,7
2023/8/28,13:13:00,551,551,551,551,3
2023/8/28,13:14:00,551,551,550,551,32
2023/8/28,13:15:00,551,551,551,551,5
2023/8/28,13:16:00,551,551,550,551,9
2023/8/28,13:17:00,551,551,550,550,50
2023/8/28,13:18:00,550,551,550,550,39
2023/8/28,13:19:00,550,551,550,550,25
2023/8/28,13:20:00,550,551,550,550,20
2023/8/28,13:21:00,550,550,550,550,81
2023/8/28,13:22:00,550,551,550,550,29
2023/8/28,13:23:00,550,551,550,550,20
2023/8/28,13:24:00,550,551,550,550,100
2023/8/28,13:25:00,550,550,550,550,0
2023/8/28,13:26:00,550,550,550,550,0
2023/8/28,13:27:00,550,550,550,550,0
2023/8/28,13:28:00,550,550,550,550,0
2023/8/28,13:29:00,549,549,549,549,1044
2023/8/29,09:00:00,551,552,548,548,1176
2023/8/29,09:01:00,548,549,548,548,74
2023/8/29,09:02:00,549,550,548,550,226
2023/8/29,09:03:00,550,551,549,551,92
2023/8/29,09:04:00,551,551,550,550,6
2023/8/29,09:05:00,550,551,549,549,100
2023/8/29,09:06:00,550,550,549,550,8
2023/8/29,09:07:00,550,550,549,549,12
2023/8/29,09:08:00,549,550,549,549,63
2023/8/29,09:09:00,549,550,549,549,27
2023/8/29,09:10:00,549,550,549,550,5
2023/8/29,09:11:00,550,550,549,550,16
2023/8/29,09:12:00,550,550,550,550,9
2023/8/29,09:13:00,550,550,549,550,11
2023/8/29,09:14:00,550,550,550,550,2
2023/8/29,09:15:00,550,550,549,549,16
2023/8/29,09:16:00,549,550,549,549,127
2023/8/29,09:17:00,550,550,550,550,3
2023/8/29,09:18:00,550,550,550,550,2
2023/8/29,09:19:00,550,550,550,550,3
2023/8/29,09:20:00,550,550,549,550,3
2023/8/29,09:21:00,549,550,549,549,25
2023/8/29,09:22:00,549,549,549,549,5
2023/8/29,09:23:00,550,550,550,550,5
2023/8/29,09:24:00,550,550,549,549,4
2023/8/29,09:25:00,550,550,549,549,13
2023/8/29,09:26:00,549,549,549,549,7
2023/8/29,09:27:00,550,550,550,550,1
2023/8/29,09:28:00,550,550,550,550,0
2023/8/29,09:29:00,550,550,549,550,9
2023/8/29,09:30:00,550,550,549,550,6
2023/8/29,09:31:00,550,550,549,549,2
2023/8/29,09:32:00,549,550,549,550,3
2023/8/29,09:33:00,550,550,549,549,5
2023/8/29,09:34:00,549,550,549,550,12
2023/8/29,09:35:00,550,550,550,550,1
2023/8/29,09:36:00,550,550,550,550,6
2023/8/29,09:37:00,549,550,549,549,3
2023/8/29,09:38:00,549,549,549,549,1
2023/8/29,09:39:00,549,550,549,549,10
2023/8/29,09:40:00,550,550,549,550,8
2023/8/29,09:41:00,550,550,550,550,2
2023/8/29,09:42:00,549,549,549,549,6
2023/8/29,09:43:00,549,550,549,550,7
2023/8/29,09:44:00,550,550,549,549,14
2023/8/29,09:45:00,550,550,550,550,2
2023/8/29,09:46:00,550,550,549,550,11
2023/8/29,09:47:00,550,550,549,549,9
2023/8/29,09:48:00,550,550,549,550,6
2023/8/29,09:49:00,549,550,549,549,5
2023/8/29,09:50:00,550,550,549,549,11
2023/8/29,09:51:00,549,549,547,547,581
2023/8/29,09:52:00,547,548,547,547,47
2023/8/29,09:53:00,547,548,547,548,20
2023/8/29,09:54:00,548,548,546,547,217
2023/8/29,09:55:00,546,547,546,547,26
2023/8/29,09:56:00,547,547,546,547,17
2023/8/29,09:57:00,546,546,546,546,9
2023/8/29,09:58:00,546,547,546,546,13
2023/8/29,09:59:00,546,547,546,546,24
2023/8/29,10:00:00,547,547,546,546,24
2023/8/29,10:01:00,546,547,546,546,13
2023/8/29,10:02:00,546,547,546,547,21
2023/8/29,10:03:00,546,546,546,546,8
2023/8/29,10:04:00,546,547,546,547,18
2023/8/29,10:05:00,547,547,546,546,18
2023/8/29,10:06:00,547,547,546,546,21
2023/8/29,10:07:00,546,547,546,547,314
2023/8/29,10:08:00,548,549,548,549,44
2023/8/29,10:09:00,548,549,548,549,14
2023/8/29,10:10:00,549,549,548,549,4
